SHIPVIA_CODE,CARRIER_CODE,SERVICELEVEL_CODE,SHIPVIA_DESC,ACTUAL_SHIP_CODE,MODE,KB Comments,Moniker ,Parcel or LTL,Include / Exclude
SLCY-3AW,SLCY,SLCY-3AW,SLCY-3AW,,,Invalid entry,#N/A,#N/A,Exclude
FSP1,KLSA,FSP1,FSPNext Day,,,No longer a Dell carrier,#N/A,#N/A,Exclude
FSP2,KLSA,FSP2,FSP Second Day,,,No longer a Dell carrier,#N/A,#N/A,Exclude
FSP3,KLSA,FSP3,FSP Third Day,,,No longer a Dell carrier,#N/A,#N/A,Exclude
ODFL,ODFL,ODFL,Old Dominion,,,No longer a Dell carrier,GRND,LTL,Include
ODFP,ODFL,ODFL,Old Dominion,,,No longer a Dell carrier,#N/A,#N/A,Exclude
3AM,3AM,3AM,3AM,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
3CH,3CH,3CH,3CH,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
3LA,3LA,3LA,3LA,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
3NY,3NY,3NY,3NY,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
RFC,3PL,,RFC,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
AM1,AM1,,AM1,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
AMC,AMC,AMC,AMC,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
3NDY,BRIGHT-RT,BRIGHT-RT,3NDY,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
FGDY,BRIGHT-RT,BRIGHT-RT,FGDY,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
ECFC,ECFC,,ECFC,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
INDY,FEDX,INDY,FedEx Next Day INDY,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
FG1,FG1,FG1,FG1,,,No longer in use - MCID is closed,#N/A,#N/A,Exclude
EAG1,EAG1,,EAG1,,,No longer in use - Now using the CEVA ship via's,#N/A,#N/A,Exclude
EAG2,EAG2,,EAG2,,,No longer in use - Now using the CEVA ship via's,#N/A,#N/A,Exclude
EAG3,EAG3,,EAG3,,,No longer in use - Now using the CEVA ship via's,#N/A,#N/A,Exclude
3AV,3AV,3AV,3AV,,SHUTTLE,,#N/A,#N/A,Exclude
3AW,3AW,3AW,3AW,,SHUTTLE,,#N/A,#N/A,Exclude
3EG3,3EG3,3EG3,Genco 3PL 2T Facility,,SHUTTLE,,#N/A,#N/A,Exclude
3EP,3EP,3EP,3EP,,SHUTTLE,,#N/A,#N/A,Exclude
3NV,3NV,3NV,3NV,,SHUTTLE,,#N/A,#N/A,Exclude
BMC,BMC,BMC,BMC,,SHUTTLE,,#N/A,#N/A,Exclude
DHLC,DHLC,DHLC,DHL Express,C,PARCEL,,International,Parcel,Exclude
DABR,DNZA,DABR,DHL Global Forwarding (Brazil),@,INTL HWA,,International,#N/A,Exclude
DDAO,DNZA,DDAO,DHL Global Forwarding (CO85/88),@,INTL HWA,,International,#N/A,Exclude
DNZ1,DNZA,DNZ1,DHL Next Day HWA,@,HWA,,Nextday,LTL,Include
DNZ2,DNZA,DNZ2,DHL 2nd Day HWA,@,HWA,,2DAY,LTL,Include
DNZ3,DNZA,DNZ3,DHL 3rd Day HWA,@,HWA,,3rdDAY,LTL,Include
DNZA,DNZA,DNZA,DHL Global Forwarding (CO20 + LATAM ROW),@,INTL HWA,,International,#N/A,Exclude
VALS,EUSA,VALS,CEVA VALS,+,LTL,,2DAY,LTL,Include
CEV1,EUSA,CEV1,Ceva Next Day,V,HWA,,Nextday,LTL,Include
CEV2,EUSA,CEV2,Ceva Second Day,V,HWA,,2DAY,LTL,Include
CEV3,EUSA,CEV3,Ceva Third Day,V,HWA,,3rdDAY,LTL,Include
CEVG,EUSA,CEVG,Ceva Ground,V,LTL,,GRND,LTL,Include
CALH,EUSA,CALH,Ceva - Canada Line Haul,,TL,,International,TL,Exclude
FDR1,FEDX,FDR1,FedEx - Nex Day Resi,K,PARCEL,,Nextday,Parcel,Include
FDR2,FEDX,FDR2,FedEx - 2nd Day Resi,R,PARCEL,,2DAY,Parcel,Include
FDR3,FEDX,FDR3,FedEx - 3rd Day Resi,},PARCEL,,3rdDAY,Parcel,include
FED1,FEDX,FED1,FedEx Std Overnight,K,PARCEL,,Nextday,Parcel,Include
FED2,FEDX,FED2,FedEx 2 Day,R,PARCEL,,2DAY,Parcel,Include
FED3,FEDX,FED3,FedEx Express Saver,},PARCEL,,3rdDAY,Parcel,Include
FEDP,FEDX,FEDP,FedEx Priority,F,PARCEL,,Nextday,Parcel,Include
FNS1,FEDX,FNS1,FedEx - Next Day (No Sig Required),K,PARCEL,,Nextday,Parcel,Include
FNS2,FEDX,FNS2,FedEx - 2 Day (No Sig Required),R,PARCEL,,2DAY,Parcel,include
FNS3,FEDX,FNS3,FedEx - 3 Day (No Sig Required),},PARCEL,,3rdDAY,Parcel,Include
FNSP,FEDX,FNSP,FedEx Priority (No Sig Required),F,PARCEL,,Nextday,Parcel,Include
FXA1,FEDX,FXA1,FedEx Express HWA - Next Day,5,HWA,,Nextday,LTL,Include
FXA2,FEDX,FXA2,FedEx Express HWA - 2 Day,G,HWA,,2DAY,LTL,Include
FXA3,FEDX,FXA3,FedEx Express HWA - 3 Day,W,HWA,,3rdDAY,LTL,Include
FG3,FG3,FG3,FG3,,SHUTTLE,,shuttle,#N/A,Exclude
FGE,FGE,FGE,FGE,,SHUTTLE,,shuttle,#N/A,Exclude
FGN,FGN,FGN,FGN,,SHUTTLE,,shuttle,#N/A,Exclude
FXFE,FXFE,FXFE,FedExFreight - Priority,#,LTL,,GRND,LTL,Include
FXNL,FXNL,FXNL,FedExFreight - Economy,#,LTL,,GRND,LTL,Include
GENC,GENR,GENC,Genco Shuttle,Q,SHUTTLE,,shuttle,#N/A,Exclude
CLLQ,GENR,CLLQ,Best Buy - Coyote,Q,CCA,,cca,#N/A,Exclude
GENR,GENR,GENR,Generic carrier,Q,CCA,,cca,#N/A,Exclude
K717,GENR,K717,Best Buy - Koch Dedicated,Q,CCA,,cca,#N/A,Exclude
KSTS,GENR,KSTS,Best Buy - Koch Trucking,Q,CCA,,cca,#N/A,Exclude
LRGR,GENR,LRGR,Best Buy - Landstar,Q,CCA,,cca,#N/A,Exclude
QPMT,GENR,QPMT,Best Buy - J.B. Hunt,Q,CCA,,cca,#N/A,Exclude
SCNN,GENR,SCNN,Best Buy - Schneider National,Q,CCA,,cca,#N/A,Exclude
UPGF,GENR,UPGF,Best Buy - UPS Freight,Q,CCA,,cca,#N/A,Exclude
KHNN,KHNN,KHNN,Kuehne And Nagel (LatAm),8,INTL HWA,,International,LTL,Exclude
KNAR,KHNN,KNAR,Kuehne & Nagel (Argentina) via HWA,8,INTL HWA,,International,LTL,Exclude
KNCL,KHNN,KNCL,Kuehne & Nagel (Chile) via HWA,8,INTL HWA,,International,LTL,Exclude
KNCO,KHNN,KNCO,Kuehne & Nagel (Colombia) via HWA,8,INTL HWA,,International,LTL,Exclude
KNCR,KHNN,KNCR,Kuehne & Nagel (Costa Rica) via HWA,8,INTL HWA,,International,LTL,Exclude
KNEC,KHNN,KNEC,Kuehne & Nagel (Ecuador) via HWA,8,INTL HWA,,International,LTL,Exclude
