Holding Window,Total Cost,Consolidated Cost,Savings,Extra Weight * Time
"[6, 7, 8, 10, 11, 13, 15, 17, 20, 24]",2275662.8092005886,2009215.260700648,266447.54849994066,3040860.446000002
"[6, 8, 10, 13, 14, 17, 18, 20, 24]",2275662.8092005886,2007415.8917006457,268246.91749994294,3156401.9559999937
"[6, 9, 12, 15, 16, 17, 20, 24]",2275662.809200587,2006135.8990006484,269526.9101999388,3140603.6260000034
"[6, 9, 11, 13, 16, 18, 24]",2275662.809200588,1995125.9066006413,280536.9025999468,4148864.8960000095
"[6, 9, 11, 14, 17, 19, 20, 24]",2275662.8092005877,2007525.8536006461,268136.95559994155,3132476.186000002
"[6, 9, 10, 13, 16, 17, 19, 24]",2275662.809200588,2003676.4947006456,271986.3144999426,3620048.295999998
"[6, 8, 10, 11, 13, 14, 16, 18, 20, 24]",2275662.809200588,2011107.9443006485,264554.8648999396,3119617.1760000116
"[6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 20, 24]",2275662.8092005886,2008738.9478006472,266923.8613999414,2936190.096000003
"[6, 9, 11, 14, 17, 20, 24]",2275662.809200588,2004558.004800646,271104.80439994205,3249108.106000006
"[6, 7, 9, 11, 12, 15, 16, 18, 19, 20, 24]",2275662.809200587,2011690.3681006504,263972.44109993684,3117167.7660000212
"[6, 9, 11, 13, 14, 17, 18, 24]",2275662.8092005877,1996392.207600641,279270.6015999466,3842569.6360000023
"[6, 7, 8, 9, 11, 12, 13, 14, 16, 18, 24]",2275662.8092005877,1998535.539700643,277127.26949994476,3834394.826000021
"[6, 9, 10, 11, 13, 15, 16, 18, 19, 24]",2275662.809200588,2008449.7397006473,267213.06949994084,3507417.78600002
"[6, 8, 11, 12, 14, 17, 20, 24]",2275662.8092005877,2006301.6901006466,269361.1190999411,3169983.566000006
"[6, 7, 10, 13, 15, 16, 19, 24]",2275662.8092005886,2001925.3659006448,273737.4432999438,3887419.175999994
"[6, 8, 11, 13, 14, 15, 18, 24]",2275662.8092005877,1994338.1072006405,281324.7019999472,4008688.1160000213
"[6, 9, 10, 12, 14, 17, 20, 24]",2275662.8092005877,2006726.6232006466,268936.1859999411,3165362.966000002
"[6, 8, 10, 13, 15, 17, 18, 20, 24]",2275662.8092005886,2008183.9350006466,267478.874199942,3093168.1860000016
"[6, 7, 9, 11, 12, 13, 16, 17, 20, 24]",2275662.8092005886,2008811.7344006489,266851.07479993976,3123538.776000005
"[6, 9, 10, 13, 16, 18, 20, 24]",2275662.809200589,2006345.6420006466,269317.1671999425,3454074.2860000185
"[6, 8, 11, 13, 14, 17, 19, 24]",2275662.8092005877,2004141.3618006457,271521.447399942,3502635.0959999934
"[6, 9, 10, 11, 14, 17, 19, 24]",2275662.8092005877,2003476.3038006446,272186.5053999431,3554325.5560000013
"[6, 7, 8, 9, 11, 13, 14, 15, 17, 19, 20, 24]",2275662.8092005877,2011450.629900649,264212.1792999387,2814866.655999997
"[6, 8, 9, 11, 12, 14, 17, 19, 20, 24]",2275662.8092005877,2010352.5374006475,265310.27179994015,3009581.1060000067
"[6, 9, 10, 12, 14, 15, 18, 24]",2275662.8092005877,1994575.7688006407,281087.04039994697,4005721.346000032
"[6, 9, 12, 14, 17, 20, 24]",2275662.8092005877,2004392.6983006462,271270.11089994153,3223538.7860000026
"[6, 8, 9, 11, 12, 14, 17, 19, 24]",2275662.8092005877,2005037.0888006457,270625.720399942,3460518.386000001
"[6, 7, 9, 10, 13, 15, 18, 24]",2275662.809200588,1993743.09720064,281919.71199994814,4149082.856000021
"[6, 8, 9, 10, 12, 15, 18, 24]",2275662.809200587,1993811.3412006411,281851.4679999461,4165493.7160000224
"[6, 9, 11, 12, 14, 17, 19, 24]",2275662.8092005877,2004842.4986006457,270820.310599942,3473780.726000002
"[6, 7, 10, 11, 13, 16, 19, 24]",2275662.8092005886,2002349.0101006452,273313.79909994337,3983931.8059999817
"[6, 8, 11, 14, 15, 18, 24]",2275662.8092005877,1991518.7421006388,284144.0670999489,4119974.6860000268
"[6, 8, 9, 10, 12, 15, 18, 19, 24]",2275662.809200587,2003491.7901006464,272171.0190999408,3759598.1660000193
"[6, 8, 11, 14, 17, 18, 19, 24]",2275662.8092005877,2002364.8831006442,273297.92609994346,3578468.855999999
"[6, 9, 12, 13, 16, 18, 20, 24]",2275662.8092005886,2006141.2916006471,269521.51759994146,3402458.2260000114
"[6, 7, 8, 9, 12, 15, 16, 17, 20, 24]",2275662.809200587,2006330.4892006484,269332.31999993883,3114078.9460000065
"[6, 7, 10, 13, 15, 17, 18, 19, 20, 24]",2275662.809200588,2010424.8663006476,265237.94289994054,2998726.7360000038
"[6, 7, 10, 13, 15, 16, 18, 24]",2275662.809200588,1995772.1099006417,279890.6992999464,4018624.9460000154
"[6, 7, 9, 10, 13, 14, 15, 18, 19, 20, 24]",2275662.809200588,2008881.7724006465,266781.0367999417,3175685.5160000185
"[6, 7, 8, 11, 14, 17, 20, 24]",2275662.809200588,2003669.5965006459,271993.2126999423,3266353.9660000056
"[6, 8, 9, 11, 14, 17, 18, 19, 24]",2275662.8092005877,2003447.8816006451,272214.92759994254,3534698.316000002
"[6, 7, 8, 9, 11, 13, 16, 18, 24]",2275662.809200588,1995320.4968006415,280342.3123999466,4122340.2160000093
"[6, 8, 9, 11, 13, 14, 15, 18, 24]",2275662.8092005877,1995421.105700641,280241.70349994674,3964917.5760000222
"[6, 7, 10, 12, 13, 16, 18, 24]",2275662.809200588,1995524.1990006417,280138.61019994644,4115296.71600001
"[6, 9, 10, 12, 13, 14, 17, 19, 24]",2275662.8092005877,2005624.1138006458,270038.6953999419,3443198.1259999922
"[6, 7, 9, 10, 13, 14, 15, 18, 19, 24]",2275662.8092005886,2003566.3238006446,272096.485399944,3626622.7960000224
"[6, 9, 10, 12, 15, 18, 20, 24]",2275662.809200588,2006371.7172006469,269291.0919999413,3403102.33600002
"[6, 7, 10, 11, 12, 13, 16, 19, 20, 24]",2275662.809200589,2008722.277600648,266940.53159994096,3478178.155999998
"[6, 9, 10, 13, 15, 16, 18, 19, 24]",2275662.8092005886,2005648.6101006467,270014.1990999419,3617368.8060000204
"[6, 7, 8, 10, 13, 16, 18, 19, 20, 24]",2275662.8092005886,2008390.5220006471,267272.28719994146,3368255.766000013
