New Shipment ID,Old Shipment ID,Original Parcel Type
0,9.18E+14,Parcel
1,6.82E+11,Parcel
2,FOX0123799,LTL
3,FOX0123502,LTL
4,9.18E+14,Parcel
5,FOX0112707,LTL
6,1.01E+11,LTL
7,9.18E+14,Parcel
8,6.82E+11,Parcel
9,9.18E+14,Parcel
10,FOX0112270,LTL
11,9.18E+14,Parcel
11,9.18E+14,Parcel
11,9.18E+14,Parcel
11,9.18E+14,Parcel
11,9.18E+14,Parcel
12,FOX0112234,LTL
13,9.18E+14,Parcel
14,9.18E+14,Parcel
15,9.18E+14,Parcel
16,6.59E+11,Parcel
17,6.59E+11,Parcel
18,9.18E+14,Parcel
19,9.18E+14,Parcel
20,9.18E+14,Parcel
21,9.18E+14,Parcel
21,9.18E+14,Parcel
21,9.18E+14,Parcel
22,6.59E+11,Parcel
23,9.18E+14,Parcel
24,FOX0116474,LTL
25,6.59E+11,Parcel
25,6.59E+11,Parcel
25,6.59E+11,Parcel
25,6.59E+11,Parcel
25,6.59E+11,Parcel
25,6.59E+11,Parcel
26,6.59E+11,Parcel
26,6.59E+11,Parcel
26,6.59E+11,Parcel
27,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
28,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
29,9.18E+14,Parcel
30,9.18E+14,Parcel
30,9.18E+14,Parcel
30,9.18E+14,Parcel
30,9.18E+14,Parcel
31,9.18E+14,Parcel
32,9.18E+14,Parcel
32,9.18E+14,Parcel
32,9.18E+14,Parcel
32,9.18E+14,Parcel
33,9.18E+14,Parcel
33,9.18E+14,Parcel
34,2.78E+14,Parcel
35,6.59E+11,Parcel
36,6.82E+11,Parcel
37,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
38,9.18E+14,Parcel
39,9.18E+14,Parcel
39,6.59E+11,Parcel
40,6.59E+11,Parcel
41,FOX0116715,LTL
42,6.59E+11,Parcel
43,6.59E+11,Parcel
44,9.18E+14,Parcel
44,9.18E+14,Parcel
44,9.18E+14,Parcel
44,9.18E+14,Parcel
45,FOX0117345,LTL
46,FOX0117343,LTL
47,FOX0117341,LTL
48,FOX0117349,LTL
49,FOX0117353,LTL
49,FOX0117365,LTL
50,FOX0117372,LTL
50,FOX0117408,LTL
51,6.82E+11,Parcel
52,9.18E+14,Parcel
53,110770085,LTL
54,6.82E+11,Parcel
55,6.82E+11,Parcel
55,6.82E+11,Parcel
56,6.82E+11,Parcel
57,6.59E+11,Parcel
58,6.59E+11,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
59,9.18E+14,Parcel
60,FOX0115849,LTL
60,9.18E+14,Parcel
61,9.18E+14,Parcel
61,9.18E+14,Parcel
61,9.18E+14,Parcel
62,143495967,LTL
63,9.18E+14,Parcel
64,FOX0129645,LTL
65,FOX0112469,LTL
66,FOX0112475,LTL
67,6.82E+11,Parcel
68,FOX0120827,LTL
69,FOX0120890,LTL
70,FOX0120895,LTL
71,FOX0120833,LTL
72,FOX0120830,LTL
73,FOX0120828,LTL
74,9.18E+14,Parcel
75,FOX0114246,LTL
76,6.59E+11,Parcel
77,9.18E+14,Parcel
77,9.18E+14,Parcel
77,9.18E+14,Parcel
78,9.18E+14,Parcel
79,FOX0122892,LTL
80,6.82E+11,Parcel
80,6.82E+11,Parcel
80,6.82E+11,Parcel
80,6.82E+11,Parcel
80,6.82E+11,Parcel
80,6.82E+11,Parcel
80,6.82E+11,Parcel
